IDs,priority_tier,consensus_outlier_score,ligand_outlier,metal_connectivity_outlier,metal_oxidation_outlier,metal,formula,n_atoms,ilp_neighbors,reference_neighbors,ilp_oxidation,reference_oxidation
SEWPEQ,B,2,1,0,1,W,C21 H14 N2 O6 W1,44,C C C C C C,C C C C C C,2,0
SEWPIU,B,2,1,0,1,Cr,C18 H10 Cr1 N2 O6,37,C C C C C C,C C C C C C,2,0
SEZRIB,B,2,1,0,1,Co,C10 H12 Co1 I1 O2,26,C C C C C C I,C C C C C C I,3,1
SIGFEV,B,2,1,0,1,Fe,C32 H29 Fe1 N1 O1 S1 Si1,66,C C C C C C C S,C C C C C C C S,4,2
SIKFAV,B,2,1,0,1,Ru,C12 H19 Cl2 N3 O2 Ru1 S2,41,Cl Cl N N S S,Cl Cl N N S S,4,2
SIMXIX,B,2,1,0,1,W,C16 H15 N1 O6 W1,39,C C C C C C,C C C C C C,2,0
SIMXOD,B,2,1,0,1,W,C11 H10 N2 O5 W1,29,C C C C C N,C C C C C N,2,0
SIMXUJ,B,2,1,0,1,W,C12 H10 N2 O6 W1,31,C C C C C C,C C C C C C,2,0
SIQHUW,B,2,1,0,1,Fe,C22 H30 Cl2 Fe1 N2 O1,58,Cl Cl N N O,Cl Cl N N O,4,2
SIRJUA,B,2,1,0,1,Pt,C10 H12 Cl1 N1 O3 Pt1 S1,29,Cl N O S,Cl N O S,4,2
SIRSAN,B,2,1,0,1,W,C22 H17 N1 O7 W1,48,C C C C C C,C C C C C C,2,0
SIZDOW,B,2,1,0,1,V,C14 H20 N3 O5 V1,43,N N O O O O,N N O O O O,3,5
SOBKAX,B,2,1,0,1,Ni,C22 H19 F3 N4 Ni1 O2 S1,52,N N O O,N N O O,0,2
SOBKEB,B,2,1,0,1,Ni,C20 H17 F3 N4 Ni1 O2 S2,49,N N O O,N N O O,0,2
SOMGIL,B,2,1,0,1,V,C6 H6 N2 O6 V1 1-,21,N O O O O O,N O O O O O O,1,5
SOMNEO,B,2,1,0,1,Ru,C27 H20 N8 Ru1,56,N N N N N N,N N N N N N,4,2
SOVCEM,B,2,1,0,1,Pt,C18 H21 Cl2 N3 Pt1,45,C C Cl Cl,C C Cl Cl,4,2
SOVCIQ,B,2,1,0,1,Pt,C31 H32 Cl1 N4 Pt1 1+,69,C C Cl N,C C Cl N,4,2
SOVGEQ,B,2,1,0,1,W,C8 H8 N1 O7 W1 1-,25,N O O O O O O,N O O O O O O,2,6
SOWMAV,B,2,1,1,0,Zn,C22 H37 N1 Zn1,61,C C H,C C,2,2
SOWQIH,B,2,1,0,1,Fe,C16 H21 Cl2 Fe1 N3,43,Cl Cl N N,Cl Cl N N,4,2
SOWSON,B,2,1,0,1,Mo,C6 H8 Mo1 O3,18,C C C C C C O O O,C C C C C C O O O,4,6
SOXCUF,B,2,1,0,1,Mn,C29 H24 F3 Mn1 N6 O6,69,C C C N N N,C C C N N N,3,1
SUGMUE,B,2,1,0,1,Mo,C16 H15 Mo1 N1 O6,39,C C C C C C,C C C C C C,2,0
SUGNAL,B,2,1,0,1,Mo,C33 H30 Mo1 N1 O5 P1,71,C C C C C P,C C C C C P,2,0
SUGNEP,B,2,1,0,1,Mo,C10 H5 Mo1 N1 O6,23,C C C C C C,C C C C C C,2,0
SUGNIT,B,2,1,0,1,Mo,C27 H20 Mo1 N1 O5 P1,55,C C C C C P,C C C C C P,2,0
SUGNOZ,B,2,1,0,1,Mo,C34 H29 Mo1 N1 O4 P2,71,C C C C P P,C C C C P P,2,0
SUMBIN,B,2,1,0,1,Fe,C32 H24 Br2 Fe1 N2,61,Br Br N N,Br Br N N,4,2
SURFEQ,B,2,1,0,1,Re,C21 H21 Cl1 N3 O3 Re1,50,C C C Cl N N,C C C Cl N N,3,1
SUTXEK,B,2,1,0,1,Fe,C9 H6 Fe1 O4,20,C C C C C C C,C C C C C C C,2,0
SUXBAO,B,2,1,0,1,Pd,C30 H26 Cl2 N4 Pd1,63,Cl Cl N N,Cl Cl N N,4,2
SUXVIQ,B,2,1,0,1,Ru,C23 H30 Cl1 N3 O2 Ru1 S2,62,Cl N N N S S,Cl N N N S S,6,2
SUZTEO,B,2,1,0,1,Ru,C41 H34 N2 P1 Ru1 1+,79,C C C C C C C P,C C C C C C C P,4,2
TACMUG,B,2,1,0,1,Re,C17 H29 Cl2 N1 O5 P1 Re1,56,Cl Cl N O O P,Cl Cl N O O P,7,5
TAHZIL,B,2,1,0,1,Ru,C19 H29 Cl2 N3 O2 Ru1 S2,58,Cl Cl N N S S,Cl Cl N N S S,6,2
TALLEX,B,2,1,0,1,Mo,C20 H30 B2 Mo1 O4,57,B B C C C C C C C C,B B C C C C C C C C,4,0
TAMBIS,B,2,1,0,1,W,C13 H24 O1 P2 S2 W1,43,C O P P S S,C O P P S S,4,6
TANJOI,B,2,1,0,1,Rh,C31 H45 Cl1 N1 Rh1 Si1,80,C C C C C Cl,C C C C C Cl,3,1
TANJUO,B,2,1,0,1,Rh,C25 H33 Cl1 N1 O2 Rh1 Si1,64,C C C Cl,C C C Cl,3,1
TAPTAH,B,2,1,0,1,Pt,C32 H14 Cl2 F24 O2 P2 Pt1,77,Cl Cl P P,Cl Cl P P,4,2
TARDAR,B,2,1,0,1,Ru,C25 H42 B2 O1 Ru1,71,B B C C C C C C C C C,B B C C C C C C C C C,6,2
TASYAN,B,2,1,0,1,Fe,C19 H29 Fe1 N1 O5,55,C C C C C C,C C C C C C,2,0
TAVVOB,B,2,1,0,1,Pt,C26 H20 I2 N2 Pt1,51,I I N N,I I N N,4,2
TAZDUT,B,2,1,0,1,Ru,C36 H28 Cl1 N8 Ru1 1+,74,Cl N N N N N,Cl N N N N N,4,2
TECNAT,B,2,1,0,1,W,C34 H24 N4 P2 S4 W1,69,P P S S S S,P P S S S S,0,4
TECXOP,B,2,1,0,1,Co,C20 H21 Co1 N5 O2 1+,49,N N N N O O,N N N N O O,1,3
TEJZEP,B,2,1,0,1,Ru,C31 H28 N5 O2 Ru1 S1 1+,68,N N N N N O,N N N N N O,4,2
TENXAO,B,2,1,0,1,Ru,C33 H30 Cl2 N3 O4 P1 Ru1,74,Cl Cl N N N P,Cl Cl N N N P,4,2
TEWRIY,B,2,1,0,1,Ni,C28 H40 Cl2 N2 Ni1,73,Cl Cl N N,Cl Cl N N,4,2
TEXMAK,B,2,1,0,1,Cr,C29 H35 Cr1 N1 O8,74,C C C C C C,C C C C C C,2,0
TEYCAB,B,2,1,0,1,Cr,C23 H23 Cr1 N1 O6,54,C C C C C C,C C C C C C,2,0
TIFRUX,B,2,1,0,1,Ni,C12 H9 F6 N3 Ni1 O2,33,N N O O,N N O O,0,2
TIGXIQ,B,2,1,0,1,Zr,C25 H46 N1 P1 Zr1,74,C C C C C C C C C N,C C C C C C C C C N,4,2
TIGXOW,B,2,1,0,1,Zr,C28 H52 N1 P1 Zr1,83,C C C C C C C C C N,C C C C C C C C C N,4,2
TIHFAT,B,2,1,0,1,Pd,C23 H30 Cl2 N2 Pd1,58,Cl Cl N N,Cl Cl N N,4,2
TISHOS,B,2,1,0,1,Ru,C25 H21 N6 Ru1 S1 1+,54,N N N N N S,N N N N N S,4,2
TITGAG,B,2,1,0,1,Pt,C16 H16 N3 Pt1 1+,36,C N N N,C N N N,4,2
TIWRIB,B,2,1,0,1,Pd,C13 H11 Br2 N3 O1 Pd1,31,Br Br N N,Br Br N N,4,2
TIZJUJ,B,2,1,0,1,Fe,C20 H40 Cl2 Fe1 N4,67,C C Cl Cl,C C Cl Cl,4,2
TIZKIY,B,2,1,0,1,Fe,C22 H44 Cl2 Fe1 N4,73,C C Cl Cl,C C Cl Cl,4,2
TOLBEE,B,2,1,0,1,Ru,C31 H27 N8 O3 Ru1 S1 1+,71,N N N N N N,N N N N N N,4,2
TUGTIY,B,2,1,0,1,Tc,C20 H22 N3 P2 S2 Tc1,50,N P P S S,N P P S S,3,5
TUKNIY,B,2,1,0,1,Au,C15 H30 Au1 Cl1 N2 O2,51,C Cl,C Cl,3,1
TUKPAS,B,2,1,0,1,Au,C27 H34 Au1 Cl1 N2 O2,67,C Cl,C Cl,3,1
TUKPEW,B,2,1,0,1,Au,C29 H42 Au1 Cl1 N2 O2,77,C Cl,C Cl,3,1
TUKPIA,B,2,1,0,1,Au,C23 H38 Au1 Cl1 N2 O2,67,C Cl,C Cl,3,1
TUKPOG,B,2,1,0,1,Au,C25 H42 Au1 Cl1 N2 O2,73,C Cl,C Cl,3,1
TUMDOU,B,2,1,0,1,W,C22 H22 N2 O6 W1,53,C C C C C C,C C C C C C,4,0
TUMDUB,B,2,1,0,1,Ni,C28 H20 N4 Ni1 O2,55,N N O O,N N O O,0,2
TUPKAQ,B,2,0,1,1,Fe,C13 H13 Fe1 N1 O7,33,C C C C C,C C C C C C,2,0
TUSTAD,B,2,1,0,1,Ru,C28 H33 Cl1 O7 Ru1 S3,73,Cl O O S S S,Cl O O S S S,6,2
TUSTEH,B,2,1,0,1,Ru,C28 H35 Cl1 O6 Ru1 S3,74,Cl O O S S S,Cl O O S S S,4,2
TUTMIF,B,2,1,0,1,Rh,C22 H22 N3 Rh1,48,C C C C N N,C C C C N N,3,1
TUWSUB,B,2,1,0,1,Pd,C25 H29 Cl1 N1 O1 P1 Pd1,59,C Cl N P,C Cl N P,4,2
TUXKUT,B,2,1,0,1,Re,C20 H9 Br1 N3 O3 Re1,37,Br C C C N N,Br C C C N N,3,1
TUZSIS,B,2,1,0,1,Ru,C20 H21 Cl3 N2 Ru1,47,C C C C Cl Cl N N,C C C C Cl Cl N N,4,2
TUZSOY,B,2,1,0,1,Ru,C21 H24 Cl2 N2 O1 Ru1,51,C C C C Cl Cl N N,C C C C Cl Cl N N,4,2
TUZSUE,B,2,1,0,1,Ru,C20 H22 Cl2 N2 Ru1,47,C C C C Cl Cl N N,C C C C Cl Cl N N,4,2
UDITOR,B,2,1,0,1,Ir,C27 H35 B1 Ir1 N7 O6,77,C C N N N N,C C N N N N,5,3
UDOBOG,B,2,1,0,1,W,C19 H30 N1 O5 P1 W1,57,C C C C C P,C C C C C P,2,0
UDOCAT,B,2,1,0,1,Cr,C19 H30 Cr1 N1 O5 P1,57,C C C C C P,C C C C C P,2,0
UDODAU,B,2,1,0,1,W,C14 H21 N2 O4 P1 W1,43,C C C C C P,C C C C C P,2,0
UGEZEM,B,2,1,0,1,Mo,C6 H4 Mo1 N1 O7 1-,19,N O O O O O O,N O O O O O O,2,6
UGUMOZ,B,2,1,0,1,Pt,C11 H12 Pt1 S3 Se2,29,C C C C Se Se,C C C C Se Se,4,2
UHONUA,B,2,1,0,1,Os,C35 H28 N2 Os1 P1 1+,67,C C C C C N N P,C C C C C N N P,4,2
UJEHAT,B,2,1,0,1,Ru,C30 H36 N2 Ru1,69,C C C C C C N N,C C C C C C N N,4,2
UJETAF,B,2,1,0,1,Pt,C24 H30 Cl1 N5 O6 Pt1 S1,68,N O O S,N O O S,4,2
UKOHUZ,B,2,1,0,1,Os,C29 H27 Cl1 N5 O2 Os1 1+,65,Cl N N N N N,Cl N N N N N,4,2
UKUMEU,B,2,1,0,1,Ti,C21 H26 N2 Ti1,50,C C C C C C C C C C N N,C C C C C C C C C C N N,4,2
UMAPOP,B,2,1,0,1,Au,C12 H13 Au1 Cl1 N3 O1 S1,32,Cl N O S,Cl N O S,1,3
UNABEQ,B,2,1,1,0,Pd,C6 H16 Cl2 N3 Pd1 1+,28,Cl Cl H N N,Cl Cl N N,2,2
UNAMIF,B,2,1,0,1,Cr,C24 H31 Cr1 N1 O10,67,C C C C C C,C C C C C C,2,0
UNANAY,B,2,1,0,1,Cr,C22 H26 Cr1 N2 O5,56,C C C C C N,C C C C C N,2,0
UNANEC,B,2,1,0,1,Cr,C31 H30 Cr1 N2 O5,69,C C C C C N,C C C C C N,2,0
UNAQEH,B,2,1,0,1,Ni,C28 H24 N5 Ni1 O1 1+,59,N N N N O,N N N N O,4,2
UPEFUS,B,2,1,0,1,Pd,C25 H25 O4 P1 Pd1 S2,58,C O P S,C O P S,4,2
UROQUO,B,2,1,0,1,Rh,C28 H31 O1 P1 Rh1 S1 1+,63,C C C C P S,C C C C P S,3,1
URUKUO,B,2,1,0,1,Co,C19 H27 Co1 N4 O1,52,C C C C C N N,C C C C C N N,3,1
USOWOP,B,2,1,0,1,Pt,C9 H10 Cl2 N4 O1 Pt1,27,Cl Cl N N,Cl Cl N N,4,2
UXOJEY,B,2,1,0,1,Ni,C17 H17 N3 Ni1 O4,42,N N O O,N N O O,0,2
VAKXOU,B,2,1,0,1,Cr,C9 H10 Cr1 N3 O5 P1 S2,31,C C C C C P,C C C C C P,2,0
VEBYAE,B,2,1,0,1,Re,C18 H31 Cl2 N1 O5 P1 Re1,59,Cl Cl N O O P,Cl Cl N O O P,7,5
VEBYIM,B,2,1,0,1,Re,C30 H39 Br2 O5 P2 Re1,79,Br Br O O P P,Br Br O O P P,7,5
VECQEB,B,2,1,0,1,Mn,C14 H12 Mn1 N1 O2,30,C C C C C C C C,C C C C C C C C,3,1
VEHSEJ,B,2,1,0,1,Ru,C30 H24 Cl1 N7 Ru1,63,Cl N N N N N,Cl N N N N N,4,2
VEJDUM,B,2,1,0,1,Ru,C28 H34 N3 O2 Ru1 1+,68,C C C C C C N O O,C C C C C C N O O,2,4
VEJVEN,B,2,1,0,1,Pd,C15 H16 Cl2 N2 Pd1,36,C Cl Cl N,C Cl Cl N,4,2
VEJVOV,B,2,1,0,1,Zr,C17 H27 P1 Zr1,46,C C C C C C C C C C C C P,C C C C C C C C C C C C P,4,2
VEPMUZ,B,2,1,0,1,Pt,C34 H32 N2 O3 P1 Pt1 1+,73,C N N P,C N N P,4,2
VEQFII,B,2,1,0,1,Ni,C19 H13 Cl1 F7 N3 Ni1 O2,46,N N O O,N N O O,0,2
VESMUB,B,2,1,0,1,Re,C20 H34 N1 O3 P2 Re1,61,C C C O P P,C C C O P P,3,1
VEWZIH,B,2,1,0,1,Cr,C16 H12 Cr1 N2 O5,36,C C C C C C,C C C C C C,2,0
VEZFOV,B,2,1,0,1,Ni,C19 H24 N2 Ni1 O3,49,N N O O,N N O O,4,2
VEZGOW,B,2,1,1,0,Re,C24 H11 O5 Re1,41,C C C C C,C C C C C C,1,1
VIJJIJ,B,2,1,0,1,Pt,C11 H10 Cl2 I1 N1 O2 Pt1 S1,29,Cl N O S,Cl N O S,4,2
VIKQAI,B,2,1,0,1,Pt,C36 H30 N2 O2 P2 Pt1,73,O O P P,O O P P,0,2
VILNEL,B,2,1,1,0,Zr,C22 H47 N2 P1 Si2 Zr1,75,C C C C C C C C P,C C C C C C C C,4,4
VINGEF,B,2,1,0,1,Ti,C8 H11 N2 O8 Ti1 1-,30,N N O O O O O,N N O O O O O,2,4
VINGUV,B,2,1,0,1,Ti,C10 H13 N2 O10 Ti1 1-,36,N N O O O O O,N N O O O O O,2,4
VIRXAW,B,2,1,0,1,Pt,C30 H28 N4 P2 Pt1 S2,67,N N P P,N N P P,4,2
VIRXOK,B,2,1,0,1,Pt,C28 H22 N6 P2 Pt1 S2,61,N N P P,N N P P,4,2
VIVYAB,B,2,1,1,0,Ni,C34 H44 Ni1 P4,83,H H P P P P,P P P P,0,0
VIWPIB,B,2,1,0,1,Pt,C28 H22 N6 P2 Pt1 S2,61,N N P P,N N P P,4,2
VIWPID,B,2,1,0,1,Ni,C36 H44 B2 Ni1 P2,85,B B C C C C P P,B B C C C C P P,4,0
VIXSIF,B,2,1,0,1,Au,C10 H15 Au1 Cl1 N3,30,C Cl,C Cl,3,1
VIXSOL,B,2,1,0,1,Au,C19 H17 Au1 F9 N3,49,C C,C C,3,1
VIXSUR,B,2,1,0,1,Au,C7 H9 Au1 Cl1 N3,21,C Cl,C Cl,3,1
VIXTAY,B,2,1,0,1,Au,C13 H9 Au1 F5 N3,31,C C,C C,3,1
VIZJUM,B,2,1,0,1,Ni,C28 H27 N8 Ni1 O2 1+,66,N N N N O,N N N N O O,4,2
VIZZAH,B,2,1,0,1,Ni,C36 H40 Br2 N2 Ni1,81,Br Br N N,Br Br N N,4,2
VOBPUZ,B,2,1,0,1,Ru,C24 H28 Cl1 N6 O1 Ru1 S1 1+,62,Cl N N N N S,Cl N N N N S,4,2
VONSUP,B,2,1,0,1,Ru,C20 H38 Cl2 N1 O2 P1 Ru1 S2,67,Cl Cl N P S S,Cl Cl N P S S,6,2
VOWFOC,B,2,1,0,1,Re,C14 H14 Br1 N2 O4 Re1,36,Br C C C C C,Br C C C C C,3,1
VOWFUI,B,2,1,0,1,Re,C31 H29 Br1 N2 O3 P1 Re1,68,Br C C C C P,Br C C C C P,3,1
VOYWIP,B,2,1,0,1,Ni,C22 H17 F2 N3 Ni1 O2,47,N N O O,N N O O,0,2
VUBYEX,B,2,1,0,1,Ag,C29 H42 Ag1 Br1 N2,75,Br C,Br C,3,1
VUBZEY,B,2,1,0,1,Cu,C29 H42 Br1 Cu1 N2,75,Br C,Br C,3,1
VUCQIU,B,2,1,0,1,Pd,C35 H34 Br2 F6 N4 Pd1,82,Br Br C C,Br Br C C,4,2
VUTKIG,B,2,1,0,1,Pt,C16 H19 Cl2 O1 P1 Pt1 S1,41,Cl Cl P S,Cl Cl P S,4,2
WAHBUE,B,2,1,0,1,Pd,C36 H31 N2 O1 P1 Pd1 S2,74,N O P S,N O P S,0,2
WALNEF,B,2,0,1,1,Mo,C14 H21 Mo1 N3 O6,45,O O O O O,N O O O O O,4,6
WAMXOY,B,2,1,0,1,Fe,C36 H24 Fe1 N10,71,N N N N N N,N N N N N N,4,2
WAQVIT,B,2,1,0,1,Ni,C31 H26 N2 Ni1 P2 Se2,64,P P Se Se,P P Se Se,0,2
WASLUY,B,2,1,0,1,Mn,C15 H8 Mn1 O3 1+,27,C C C C C C C C C,C C C C C C C C C,3,1
WAYWIC,B,2,1,0,1,Pt,C26 H34 Cl1 N2 P2 Pt1 1+,66,Cl N P P,Cl N P P,4,2
WECDOX,B,2,1,0,1,Ni,C25 H16 Cl1 N7 Ni1,50,N N N N,N N N N,4,2
WEDXIM,B,2,1,0,1,Cr,C17 H14 Cr1 F1 N1 O5,39,C C C C C C,C C C C C C,2,0
WEHFEW,B,2,1,0,1,W,C19 H20 N2 O4 S1 W1,47,C C C C C N,C C C C C N,2,0
WEJBOE,B,2,1,0,1,Ru,C28 H48 Cl2 N4 Ru1,83,Cl Cl N N N N,Cl Cl N N N N,6,2
WELWIT,B,2,1,0,1,Pt,C30 H24 N2 P2 Pt1 S2,61,P P S S,P P S S,0,2
WELWOZ,B,2,1,0,1,Pt,C34 H24 N2 P2 Pt1 S2,65,P P S S,P P S S,0,2
WEMTEP,B,2,1,0,1,Mo,C14 H9 Mo1 N4 O1 S3 1-,32,N N O S S S,N N O S S S,2,4
WEQGEE,B,2,1,0,1,Ir,C43 H30 F5 Ir1 O3 P2 S1,85,C O O P P S,C O O P P S,1,3
WETLOX,B,2,1,0,1,Pd,C13 H33 Cl2 N4 P1 Pd1,54,C Cl Cl P,C Cl Cl P,4,2
WETLUD,B,2,1,0,1,Pd,C28 H34 Cl2 N1 P1 Pd1,67,C Cl Cl P,C Cl Cl P,4,2
WEXMUI,B,2,1,0,1,Cr,C33 H27 Cr1 N2 O4 P1,68,C C C C C P,C C C C C P,2,0
WIDVOV,B,2,1,0,1,Ru,C14 H21 Cl2 N3 O2 Ru1 S2,45,Cl Cl N N S S,Cl Cl N N S S,4,2
WIDWAI,B,2,1,0,1,Ru,C16 H27 Cl1 N3 O3 Ru1 S3 1+,54,Cl N N O S S,Cl N N O S S,4,2
WIGFUN,B,2,1,0,1,W,C13 H24 O1 P2 Se2 W1,43,C O P P Se Se,C O P P Se Se,4,6
WIJVIU,B,2,1,0,1,Pd,C40 H30 N2 P2 Pd1 S2,77,P P S S,P P S S,0,2
WILKUA,B,2,1,0,1,Pt,C12 H12 Cl3 N1 O2 Pt1 S1,32,Cl N O S,Cl N O S,4,2
WIMVEU,B,2,1,0,1,Mn,C21 H26 Mn1 N4 O5 1-,57,N N N N O,N N N N O,3,5
WIWNUO,B,2,1,0,1,Pd,C30 H43 Cl2 N3 O1 Pd1,80,C C Cl Cl,C C Cl Cl,4,2
WIWPAW,B,2,1,0,1,Pd,C31 H45 Cl2 N3 Pd1,82,C C Cl Cl,C C Cl Cl,4,2
WIWQEA,B,2,1,0,1,Mo,C8 H7 Mo1 N3 O5,24,N N O O O O O,N N O O O O O,2,6
WIXYAF,B,2,1,0,1,Ru,C11 H18 Cl2 N4 O2 Ru1 S2,40,Cl Cl N N S S,Cl Cl N N S S,4,2
WIXYEJ,B,2,1,0,1,Ru,C11 H18 Cl2 N4 O2 Ru1 S2,40,Cl Cl N N S S,Cl Cl N N S S,4,2
WOHNEM,B,2,1,0,1,Ru,C10 H26 O8 Ru1 S3,48,O O O S S S,O O O S S S,8,2
WOHNIQ,B,2,1,0,1,Ru,C10 H20 F6 O8 Ru1 S3,48,O O O S S S,O O O S S S,8,2
WOHYOK,B,2,1,0,1,Ru,C25 H33 Cl2 N3 O5 Ru1 S2,71,Cl Cl N O S S,Cl Cl N O S S,4,2
WOHYUQ,B,2,1,0,1,Ru,C25 H32 Cl3 N3 O5 Ru1 S2,71,Cl Cl N O S S,Cl Cl N O S S,4,2
WOJBUV,B,2,1,0,1,Ru,C20 H20 Cl1 F2 N2 Ru1 1+,46,C C C C C C Cl N N,C C C C C C Cl N N,4,2
WOJSUJ,B,2,1,0,1,Ru,C24 H36 Br2 N4 O2 Ru1 S2,71,Br Br N N S S,Br Br N N S S,4,2
WOJTEU,B,2,1,0,1,Ru,C18 H24 Cl2 N4 O2 Ru1 S2,53,Cl Cl N N S S,Cl Cl N N S S,4,2
WOJTUK,B,2,1,0,1,Ru,C24 H36 Cl2 N4 O2 Ru1 S2,71,Cl Cl N N S S,Cl Cl N N S S,4,2
WOKMAL,B,2,1,0,1,Pt,C33 H45 N2 P1 Pt1 S1,83,C N P S,C N P S,0,2
WOLNIX,B,2,1,0,1,Ru,C18 H24 Cl2 N4 O2 Ru1 S2,53,Cl Cl N N S S,Cl Cl N N S S,6,2
WOPQIB,B,2,1,0,1,Co,C14 H36 Co1 P4 Se2 1+,57,P P P P Se Se,P P P P Se Se,1,3
WOSMOG,B,2,1,0,1,Ru,C32 H39 Cl1 O1 P1 Ru1 S1 1+,76,C C C C C C Cl P S,C C C C C C Cl P S,4,2
WOSMUM,B,2,1,0,1,Ru,C32 H39 Cl1 O1 P1 Ru1 S1 1+,76,C C C C C C Cl P S,C C C C C C Cl P S,4,2
WOSPAV,B,2,1,0,1,Ru,C30 H35 Cl1 O1 P1 Ru1 S1 1+,70,C C C C C C Cl P S,C C C C C C Cl P S,4,2
WOVJIA,B,2,1,0,1,Pt,C14 H14 Cl2 N2 Pt1 S1,34,Cl Cl N S,Cl Cl N S,4,2
WUKLIY,B,2,1,0,1,Ni,C33 H30 N2 Ni1 P2 S2,70,P P S S,P P S S,0,2
WUSWOX,B,2,1,0,1,Fe,C26 H20 Fe1 N6 O4,57,N N N N O O,N N N N O O,4,2
WUWCIA,B,2,1,0,1,Pd,C23 H29 Cl1 N1 O2 P1 Pd1,58,C Cl N P,C Cl N P,4,2
WUWPAH,B,2,1,0,1,Co,C30 H41 B1 Br1 Co1 P2,76,B Br P P,B Br C P P,3,1
WUZSEP,B,2,1,0,1,Pt,C24 H16 Cl2 N2 Pt1,45,Cl Cl N N,Cl Cl N N,4,2
XACXAB,B,2,1,0,1,Pd,C32 H42 O8 P2 Pd1,85,O O P P,O O P P,0,2
XAGNOI,B,2,1,1,0,Cu,C16 H24 Br1 Cu1,42,Br C C,Br C C C C,1,1
XAGNUO,B,2,1,1,0,Cu,C16 H24 Cu1 I1,42,C C I,C C C C I,1,1
XAKGOF,B,2,1,0,1,Au,C17 H24 Au1 N3 O2,47,C C,C C,3,1
XAKGUL,B,2,1,0,1,Au,C25 H30 Au1 N3 O2,61,C C,C C,3,1
XAMJIE,B,2,1,0,1,Ru,C36 H38 Cl1 O4 P1 Ru1,81,C C C C C C C Cl P,C C C C C C C Cl P,6,4
XAMQOS,B,2,1,0,1,Pd,C23 H27 Cl2 N2 P1 Pd1,56,C Cl Cl P,C Cl Cl P,4,2
XAPJOO,B,2,1,0,1,V,C18 H18 N4 O3 V1 1+,44,N N N N O O O,N N N N O O O,3,5
XATPAL,B,2,1,0,1,Pd,C22 H44 Cl2 N2 O2 P2 Pd1,75,Cl Cl P P,Cl Cl P P,4,2
XATPEP,B,2,1,0,1,Pd,C22 H44 Br2 N2 O2 P2 Pd1,75,Br Br P P,Br Br P P,4,2
XATPUF,B,2,1,0,1,Pd,C18 H36 Cl2 N2 O2 P2 Pd1,63,Cl Cl P P,Cl Cl P P,4,2
XATQAM,B,2,1,0,1,Pd,C18 H36 Br2 N2 O2 P2 Pd1,63,Br Br P P,Br Br P P,4,2
XATXAT,B,2,1,0,1,Co,C12 H28 Co1 N4 O2 1+,47,N N N N O O,N N N N O O,1,3
XATXOH,B,2,1,0,1,Co,C13 H30 Co1 N4 O2 1+,50,N N N N O O,N N N N O O,1,3
XEBZEK,B,2,1,0,1,Ag,C20 H32 Ag1 N2 S2 1+,57,C C N N S,N N S,3,1
XECTEE,B,2,1,0,1,Zr,C25 H29 P1 Zr1,56,C C C C C C C C C C C C P,C C C C C C C C C C C C P,4,2
XEFQOP,B,2,1,0,1,Ru,C15 H8 Cl1 N2 O3 Ru1 1+,30,C C C Cl N N,C C C Cl N N,4,2
XEJZUI,B,2,1,0,1,Ru,C28 H35 Cl1 N3 Ru1 1+,68,C C C C C C Cl N N,C C C C C C Cl N N,4,2
XELREL,B,2,1,0,1,Fe,C32 H43 Cl2 Fe1 N3,81,Cl Cl N N N,Cl Cl N N N,4,2
XEQBEB,B,2,1,0,1,Pt,C23 H23 Cl2 N1 O1 Pt1 S1,52,C Cl N S,C Cl N S,4,2
XETLEQ,B,2,1,0,1,Ru,C21 H27 Cl1 O9 Ru1 S3,62,Cl O O S S S,Cl O O S S S,4,2
XETQEU,B,2,1,0,1,Cr,C9 H18 B3 Cr1 N3 O3,37,B B B C C C N N N,B B B C C C N N N,6,0
XETVUN,B,2,1,0,1,Pt,C22 H24 Cl2 N1 P1 Pt1,51,C C Cl P,C C Cl P,4,2
XIBGEX,B,2,1,0,1,Ru,C22 H24 Cl1 N6 O1 Ru1 S1 1+,56,Cl N N N N S,Cl N N N N S,4,2
XIBHUL,B,2,1,0,1,Ru,C29 H29 Cl1 N3 Ru1 1+,63,C C C C C C Cl N N,C C C C C C Cl N N,4,2
XIDSOV,B,2,1,0,1,Ni,C21 H26 F4 N2 Ni1 O2,56,C N N O,C N N O,4,2
XIGYAN,B,2,1,0,1,Au,C6 H16 Au1 N4 1+,27,C C,C C,3,1
XIKGII,B,2,1,0,1,Ti,C15 H13 F3 O2 Se2 Ti1,36,C C C C C C C C C C Se Se,C C C C C C C C C C Se Se,2,4
XIKLUY,B,2,1,0,1,Au,C5 H12 Au1 Cl1 N2,21,C Cl,C Cl,3,1
XIQGOU,B,2,1,0,1,Ru,C28 H26 Cl2 O4 P2 Ru1,63,C C Cl Cl P P,C C Cl Cl P P,4,2
XIQSOH,B,2,1,0,1,Ir,C36 H28 Cl1 Ir1 O3 P2 S1,72,Cl O O P P S,Cl O O P P S,1,3
XIQTOH,B,2,1,0,1,Au,C30 H41 Au1 B1 Cl1 P2,76,B Cl P P,B Cl P P,3,1
XIQTUN,B,2,1,0,1,Au,C42 H33 Au1 B1 Cl1 P2,80,B Cl P P,B Cl P P,3,1
XIVTOO,B,2,1,0,1,Pd,C29 H33 F6 N3 O4 Pd1,76,C C O O,C C O O,4,2
XIWVIK,B,2,1,0,1,Pd,C28 H20 N6 Pd1,55,N N N N,N N N N,4,2
